airportCode,airportName,cityName,countryName,similar,url
ABV,Abuja Nnamdi Azikiwe International,Abuja,Nigeria,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
ABZ,Aberdeen,Aberdeen,Scotland,"['budapest', 'kuala-lumpur', 'amsterdam', 'lisbon', 'the-hague', 'kigali', 'dublin', 'geneva', 'london', 'amsterdam', 'paris', 'berlin', 'vienna', 'budapest', 'lisbon', 'new-york-city', 'toronto', 'seoul', 'chiang-mai', 'bangkok', 'kuala-lumpur', 'singapore', 'ubud']",https://nomadlist.com/assets/img/cities/aberdeen-united-kingdom-500px.jpg
ACC,Accra Kotoka Intl,Accra,Ghana,"['dakar', 'seville', 'lagos', 'medellin', 'paris', 'dakar', 'nairobi', 'cairo', 'dahab', 'dar-es-salaam', 'cape-town', 'dubai', 'medellin', 'washington', 'indianapolis', 'chiang-mai', 'bangkok', 'seattle', 'san-diego', 'san-francisco']",https://nomadlist.com/assets/img/cities/accra-ghana-500px.jpg
ACE,Arrecife-Lanzarote,Lanzarote,Spain,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
AGP,Malaga Airport,Malaga,Spain,"['granada', 'seville', 'barcelona', 'amsterdam', 'paris', 'tarifa', 'madrid', 'athens', 'glasgow', 'alicante', 'tangier', 'bangkok', 'madrid', 'lisbon', 'barcelona', 'paris', 'rome', 'london', 'amsterdam', 'prague', 'berlin', 'budapest', 'new-york-city', 'san-francisco', 'bangkok', 'kuala-lumpur', 'singapore']",https://nomadlist.com/assets/img/cities/malaga-spain-500px.jpg
ALC,Alicante,Alicante,Spain,"['barcelona', 'valencia', 'lisbon', 'bilbao', 'tenerife', 'marbella', 'madrid', 'osaka', 'malaga', 'verona', 'marrakesh', 'medellin', 'valencia', 'madrid', 'barcelona', 'lisbon', 'paris', 'london', 'amsterdam', 'prague', 'berlin', 'istanbul', 'chiang-mai', 'hanoi', 'bangkok', 'hong-kong', 'singapore']",https://nomadlist.com/assets/img/cities/alicante-spain-500px.jpg
ALG,Algiers,Algiers,Algeria,"['brussels', 'rabat', 'madrid', 'rabat', 'paris', 'brussels', 'montreal', 'orlando', 'bangkok', 'honolulu']",https://nomadlist.com/assets/img/cities/algiers-algeria-500px.jpg
AMM,Amman,Amman,Jordan,"['dammam-saudi-arabia', 'tel-aviv', 'dubai', 'cairo', 'istanbul', 'nairobi', 'bangkok', 'warsaw', 'jeddah', 'san-francisco', 'doha', 'portland', 'istanbul', 'dubai', 'berlin', 'barcelona', 'paris', 'amsterdam', 'london', 'bangkok', 'kuala-lumpur', 'hong-kong', 'singapore', 'tokyo', 'new-york-city', 'san-francisco', 'los-angeles']",https://nomadlist.com/assets/img/cities/amman-jordan-500px.jpg
AMS,Amsterdam,Amsterdam,Netherlands,"['berlin', 'paris', 'brussels', 'london', 'new-york-city', 'barcelona', 'prague', 'rotterdam', 'copenhagen', 'lisbon', 'cape-town', 'bangkok', 'brussels', 'london', 'paris', 'berlin', 'prague', 'budapest', 'barcelona', 'rome', 'lisbon', 'new-york-city', 'san-francisco', 'los-angeles', 'bangkok', 'hong-kong', 'tokyo']",https://nomadlist.com/assets/img/cities/amsterdam-netherlands-500px.jpg
ANU,Antigua,Antigua,Antigua and Barbuda,"['guatemala-city', 'panajachel', 'mexico-city', 'lisbon', 'san-jose-costa-rica', 'tamarindo', 'madrid', 'playa-del-carmen', 'paris', 'seattle', 'berlin', 'san-pedro', 'playa-del-carmen', 'mexico-city', 'panama-city', 'medellin', 'new-york-city', 'san-diego', 'los-angeles', 'san-francisco', 'lisbon', 'london', 'paris', 'amsterdam', 'barcelona', 'hanoi', 'bangkok']",https://nomadlist.com/assets/img/cities/antigua-guatemala-500px.jpg
